0.042,-0.890046988574018,-1.48490669994954,-2.19560341050514,-2.60529334098998,-0.890046988817105,6.4973537880559e-07,1
0.044,-0.890039895996059,-1.48488782092808,-2.19553207286829,-2.60538357268779,-0.890039896263455,9.12588252387206e-07,1
0.046,-0.89003246575734,-1.48486808192073,-2.1954573708299,-2.60547802948934,-0.890032466050201,1.20047485615423e-06,1
0.048,-0.890024697877597,-1.48484465118066,-2.19537582727522,-2.60558302025624,-0.890024698197083,3.14058225809231e-07,1
0.05,-0.890016592343902,-1.48482320555943,-2.19529440425441,-2.60568590608683,-0.890016592691169,6.55426051917393e-07,1
0.052,-0.890008149192764,-1.48480091140764,-2.19520962542451,-2.60579299697344,-0.890008149568971,1.02524137854014e-06,1
0.054,-0.889999368436876,-1.48477535347953,-2.1951185205733,-2.60590967837407,-0.88999936884318,3.99400731175518e-07,1
0.056,-0.889990250066343,-1.48475137744517,-2.19502703722792,-2.6060251570916,-0.8899902505039,8.29524852818883e-07,1
0.058,-0.889980794117758,-1.48472656554655,-2.19493220618863,-2.60614482008374,-0.889980794587727,1.29151027806823e-06,1
0.06,-0.889971000609013,-1.48469787655044,-2.19483028413881,-2.60627545190039,-0.889971001112552,4.94984633956797e-07,1
0.062,-0.889960869522169,-1.48467140904607,-2.19472876444178,-2.60640346058906,-0.889960870060435,1.02410649625394e-06,1
0.064,-0.889950400913874,-1.48464170444235,-2.19462093432199,-2.60654101751636,-0.889950401488026,5.64396975486233e-07,1
0.066,-0.889939594762174,-1.48461359785279,-2.19451273694827,-2.60667734440005,-0.889939595373367,1.16520708084922e-06,1
0.068,-0.889928451121195,-1.48458193241247,-2.19439782425808,-2.60682394616754,-0.889928451770588,6.38361129326409e-07,1
0.07,-0.889916969965993,-1.48455220534996,-2.19428295935492,-2.60696856248689,-0.889916970654744,1.31541132241077e-06,1
0.072,-0.889905151359549,-1.48451857668235,-2.19416094764201,-2.60712422793771,-0.889905152088815,7.16877147821696e-07,1
0.074,-0.889892995269506,-1.48448724791156,-2.19403942530118,-2.60727710483641,-0.889892996040445,1.47471931578847e-06,1
